lon,lat,title,desc,icon,zoom,html
-81.6797348,26.1594848,3576 Plover Ave,Phone: (239)-352-3520<br>Fax: (239)-348-3434<br>Mgr: Richard Sollmann<br>Regional Mgr: Ron Reagan,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>3576 Plover Ave</b></br>Phone: (239)-352-3520<br>Fax: (239)-348-3434<br>Mgr: Richard Sollmann<br>Regional Mgr: Ron Reagan
-82.0976471,29.2110514,2870 NE 24th St,Phone: (352)620-0616 <br>Fax: (352) 620-0982 <br>Mgr: Mike McGurk <br>Regional Mgr: Steve McCormack<br>Rick Davis Fax# (352) 629-5640,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>2870 NE 24th St</b></br>Phone: (352)620-0616 <br>Fax: (352) 620-0982 <br>Mgr: Mike McGurk <br>Regional Mgr: Steve McCormack<br>Rick Davis Fax# (352) 629-5640
-82.6744608,28.0408867,140 Scarlet Blvd,Phone: (813)-855-2456<br>Fax: (813)-854-4834<br>Mgr: Jeff Reinig <br>Regional Mgr: John Salazar,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>140 Scarlet Blvd</b></br>Phone: (813)-855-2456<br>Fax: (813)-854-4834<br>Mgr: Jeff Reinig <br>Regional Mgr: John Salazar
-82.5519343,27.523199,1130 12th Ave E,Phone: (941)-729-5618<br>Fax: (941)-772-0638<br>Mgr: Sal Rios<br>Regional Mgr: John Salazar,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1130 12th Ave E</b></br>Phone: (941)-729-5618<br>Fax: (941)-772-0638<br>Mgr: Sal Rios<br>Regional Mgr: John Salazar
-82.063149,26.96743,4241 James St,Phone: (941)629-4234 <br>Fax: (941) 629-6714 <br>Mgr: Jacob Coleman <br>Regional Mgr: Ron Reagan,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>4241 James St</b></br>Phone: (941)629-4234 <br>Fax: (941) 629-6714 <br>Mgr: Jacob Coleman <br>Regional Mgr: Ron Reagan
-80.4092627,27.3283971,555 NW Enterprise Dr,Phone: (772)340-3400 <br>Fax: (772) 340-3480 <br>Mgr: Eric White <br>Regional: Marlon Sirju,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>555 NW Enterprise Dr</b></br>Phone: (772)340-3400 <br>Fax: (772) 340-3480 <br>Mgr: Eric White <br>Regional: Marlon Sirju
-81.296922,28.804309,2690 W Airport Blvd,Phone: (407) 328-0040 <br>Fax: (407) 323-8811 <br>Mgr: Craig Finnell <br>Regional Mgr: Phil Savage,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>2690 W Airport Blvd</b></br>Phone: (407) 328-0040 <br>Fax: (407) 323-8811 <br>Mgr: Craig Finnell <br>Regional Mgr: Phil Savage
-82.4509242,27.3184357,1701 Cattlemen Rd,Phone: (941)-378-9554<br>Fax: (941)-378-9470<br>Training Mgr: Nick Flickinger <br>Regional Mgr: John Salazar,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1701 Cattlemen Rd</b></br>Phone: (941)-378-9554<br>Fax: (941)-378-9470<br>Training Mgr: Nick Flickinger <br>Regional Mgr: John Salazar
-82.4344381,27.0965183,610 Groveland Ave,Phone: (941)-484-3738<br>Fax: (941)-484-2631<br>Mgr: Josh Ferrill<br>Regional Mgr: Ron Reagan,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>610 Groveland Ave</b></br>Phone: (941)-484-3738<br>Fax: (941)-484-2631<br>Mgr: Josh Ferrill<br>Regional Mgr: Ron Reagan
-80.0846584,26.7729157,1750 W 10th St,Phone:(561)844-5252 <br>Fax: (561) 842-8842 <br>Mgr: Todd Willis <br>Regional: Marlon Sirju,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1750 W 10th St</b></br>Phone:(561)844-5252 <br>Fax: (561) 842-8842 <br>Mgr: Todd Willis <br>Regional: Marlon Sirju
-81.3498039,28.6774379,1652 S Ronald Reagan Blvd,Phone: (407) 331-8989 <br>Fax: (407) 331-0886 <br>Mgr: Ken Galgano <br>Regional Mgr: Phil Savage,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>1652 S Ronald Reagan Blvd</b></br>Phone: (407) 331-8989 <br>Fax: (407) 331-0886 <br>Mgr: Ken Galgano <br>Regional Mgr: Phil Savage
-81.626684,30.273445,4682 Dusk Ct,Phone: (904)636-0627<br> Fax: (904) 636-0735<br>Mgr: Gary Bussey <br>Regional Mgr: Brian Campbell,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>4682 Dusk Ct</b></br>Phone: (904)636-0627<br> Fax: (904) 636-0735<br>Mgr: Gary Bussey <br>Regional Mgr: Brian Campbell
-86.6567683,30.423678,632 Lovejoy Rd NW #2,Phone: (850) 864-4004 <br>Fax: (850) 864-3003 <br>Mgr: Dustin Jones <br>Regional Mgr: Brian Campbell,https://www.shareicon.net/download/32x32/2016/08/18/811941_miscellaneous_512x512.png,8,<b>632 Lovejoy Rd NW #2</b></br>Phone: (850) 864-4004 <br>Fax: (850) 864-3003 <br>Mgr: Dustin Jones <br>Regional Mgr: Brian Campbell
